Route ID,Origin,Destination,Summary,Via
Rajkot-Vadodara-Route-2-NH 47 and NE 1,Rajkot,Vadodara,NH 47 and NE 1,"Exit the roundabout onto High Ct Rd/<wbr/>Rajkot Hwy<div style=""font-size:0.9em"">Continue to follow Rajkot Hwy</div><div style=""font-size:0.9em"">Pass by લાભ ટ્રાન્સપોર્ટ (on the left in 450m)</div> → At Parewadi Chowk, take the 2nd exit onto Rajkot Hwy/<wbr/>Ranchhod Nagar Main Rd<div style=""font-size:0.9em"">Pass by Tajani tools (on the left)</div> → Head south on Dr. BR Ambedkar Chowk toward High Ct Rd/<wbr/>Rajkot Hwy → At Deluxe Cinema Chowk, take the 1st exit onto Kuvadava Rd/<wbr/>Ranchhod Nagar Main Rd<div style=""font-size:0.9em"">Go through 1 roundabout</div><div style=""font-size:0.9em"">Pass by SBI ATM (on the left)</div> → Turn left to stay on Kuvadava Rd<div style=""font-size:0.9em"">Pass by Greenland chokdi Pickup Stand (GSRTC) (on the left)</div>"
Rajkot-Vapi-Route-1-NH 48,Rajkot,Vapi,NH 48,"Exit the roundabout onto High Ct Rd/<wbr/>Rajkot Hwy<div style=""font-size:0.9em"">Continue to follow Rajkot Hwy</div><div style=""font-size:0.9em"">Pass by લાભ ટ્રાન્સપોર્ટ (on the left in 450m)</div> → At Parewadi Chowk, take the 2nd exit onto Rajkot Hwy/<wbr/>Ranchhod Nagar Main Rd<div style=""font-size:0.9em"">Pass by Tajani tools (on the left)</div> → Head south on Dr. BR Ambedkar Chowk toward High Ct Rd/<wbr/>Rajkot Hwy → At Deluxe Cinema Chowk, take the 1st exit onto Kuvadava Rd/<wbr/>Ranchhod Nagar Main Rd<div style=""font-size:0.9em"">Go through 1 roundabout</div><div style=""font-size:0.9em"">Pass by SBI ATM (on the left)</div> → Turn left to stay on Kuvadava Rd<div style=""font-size:0.9em"">Pass by Greenland chokdi Pickup Stand (GSRTC) (on the left)</div>"
Rajkot-Bhavnagar-Route-1-Bhavnagar - Rajkot R,Rajkot,Bhavnagar,Bhavnagar - Rajkot Rd,"Exit the roundabout onto High Ct Rd/<wbr/>Rajkot Hwy<div style=""font-size:0.9em"">Continue to follow Rajkot Hwy</div><div style=""font-size:0.9em"">Pass by લાભ ટ્રાન્સપોર્ટ (on the left in 450m)</div> → At Deluxe Cinema Chowk, take the 2nd exit onto Bhavnagar Rd/<wbr/>Rajkot Hwy<div style=""font-size:0.9em"">Pass by Hanuman Temple (on the left in 550m)</div> → At Bhavnagar Cir, continue straight onto Bhavnagar - Rajkot Rd<div style=""font-size:0.9em"">Pass by Aaji Dam Renbasera (on the right)</div> → At Parewadi Chowk, take the 2nd exit onto Rajkot Hwy/<wbr/>Ranchhod Nagar Main Rd<div style=""font-size:0.9em"">Pass by Tajani tools (on the left)</div> → Head south on Dr. BR Ambedkar Chowk toward High Ct Rd/<wbr/>Rajkot Hwy"
Rajkot-Bhavnagar-Route-2-NH 47,Rajkot,Bhavnagar,NH 47,"Exit the roundabout onto High Ct Rd/<wbr/>Rajkot Hwy<div style=""font-size:0.9em"">Continue to follow Rajkot Hwy</div><div style=""font-size:0.9em"">Pass by લાભ ટ્રાન્સપોર્ટ (on the left in 450m)</div> → At Parewadi Chowk, take the 2nd exit onto Rajkot Hwy/<wbr/>Ranchhod Nagar Main Rd<div style=""font-size:0.9em"">Pass by Tajani tools (on the left)</div> → Head south on Dr. BR Ambedkar Chowk toward High Ct Rd/<wbr/>Rajkot Hwy → At Deluxe Cinema Chowk, take the 1st exit onto Kuvadava Rd/<wbr/>Ranchhod Nagar Main Rd<div style=""font-size:0.9em"">Go through 1 roundabout</div><div style=""font-size:0.9em"">Pass by SBI ATM (on the left)</div> → Turn left to stay on Kuvadava Rd<div style=""font-size:0.9em"">Pass by Greenland chokdi Pickup Stand (GSRTC) (on the left)</div>"
Rajkot-Gandhinagar-Route-1-NH 47,Rajkot,Gandhinagar,NH 47,"Exit the roundabout onto High Ct Rd/<wbr/>Rajkot Hwy<div style=""font-size:0.9em"">Continue to follow Rajkot Hwy</div><div style=""font-size:0.9em"">Pass by લાભ ટ્રાન્સપોર્ટ (on the left in 450m)</div> → At Parewadi Chowk, take the 2nd exit onto Rajkot Hwy/<wbr/>Ranchhod Nagar Main Rd<div style=""font-size:0.9em"">Pass by Tajani tools (on the left)</div> → Head south on Dr. BR Ambedkar Chowk toward High Ct Rd/<wbr/>Rajkot Hwy → At Deluxe Cinema Chowk, take the 1st exit onto Kuvadava Rd/<wbr/>Ranchhod Nagar Main Rd<div style=""font-size:0.9em"">Go through 1 roundabout</div><div style=""font-size:0.9em"">Pass by SBI ATM (on the left)</div> → Turn left to stay on Kuvadava Rd<div style=""font-size:0.9em"">Pass by Greenland chokdi Pickup Stand (GSRTC) (on the left)</div>"
Rajkot-Gandhinagar-Route-2-GJ SH 19,Rajkot,Gandhinagar,GJ SH 19,"Exit the roundabout onto High Ct Rd/<wbr/>Rajkot Hwy<div style=""font-size:0.9em"">Continue to follow Rajkot Hwy</div><div style=""font-size:0.9em"">Pass by લાભ ટ્રાન્સપોર્ટ (on the left in 450m)</div> → At Parewadi Chowk, take the 2nd exit onto Rajkot Hwy/<wbr/>Ranchhod Nagar Main Rd<div style=""font-size:0.9em"">Pass by Tajani tools (on the left)</div> → Head south on Dr. BR Ambedkar Chowk toward High Ct Rd/<wbr/>Rajkot Hwy → At Deluxe Cinema Chowk, take the 1st exit onto Kuvadava Rd/<wbr/>Ranchhod Nagar Main Rd<div style=""font-size:0.9em"">Go through 1 roundabout</div><div style=""font-size:0.9em"">Pass by SBI ATM (on the left)</div> → Turn left to stay on Kuvadava Rd<div style=""font-size:0.9em"">Pass by Greenland chokdi Pickup Stand (GSRTC) (on the left)</div>"
Rajkot-Junagadh-Route-1-NH 27,Rajkot,Junagadh,NH 27,"Continue onto Swami Vivekananda Overbridge → Exit the roundabout onto Jawahar Rd<div style=""font-size:0.9em"">Pass by Affis Appartments (on the left in 350m)</div> → At the roundabout, take the 1st exit onto Dr Yagnik Rd<div style=""font-size:0.9em"">Pass by HTL BUSINESS Pvt. Ltd. (on the left)</div> → Head south on Dr. BR Ambedkar Chowk toward High Ct Rd/<wbr/>Rajkot Hwy → At Malaviya Chowk, take the 1st exit onto Gondal Rd<div style=""font-size:0.9em"">Pass by State Bank Of India ATM (on the right in 1.2 km)</div>"
Rajkot-Junagadh-Route-2-NH 27 and NH151,Rajkot,Junagadh,NH 27 and NH151,"Turn left at A ONE CHIKKI AND GOLA onto Sir Lakhajiraj Rd<div style=""font-size:0.9em"">Pass by R.K. લાઇવ પફ ઝોન (on the left)</div> → Turn right at Dev Perfumes onto Kavi Nanalal Rd<div style=""font-size:0.9em"">Pass by KUNWAR Fashions (on the left)</div> → Turn left at FineArt Cad Design onto Bhupendra Road<div style=""font-size:0.9em"">Pass by Fitwell Tailors (on the right)</div> → Exit the roundabout onto Jawahar Rd<div style=""font-size:0.9em"">Pass by Affis Appartments (on the left in 350m)</div> → Head south on Dr. BR Ambedkar Chowk toward High Ct Rd/<wbr/>Rajkot Hwy"
Rajkot-Junagadh-Route-3-NH151,Rajkot,Junagadh,NH151,"Continue onto Swami Vivekananda Overbridge → Exit the roundabout onto Jawahar Rd<div style=""font-size:0.9em"">Pass by Affis Appartments (on the left in 350m)</div> → At the roundabout, take the 1st exit onto Dr Yagnik Rd<div style=""font-size:0.9em"">Pass by HTL BUSINESS Pvt. Ltd. (on the left)</div> → Head south on Dr. BR Ambedkar Chowk toward High Ct Rd/<wbr/>Rajkot Hwy → At Malaviya Chowk, take the 1st exit onto Gondal Rd<div style=""font-size:0.9em"">Pass by State Bank Of India ATM (on the right in 1.2 km)</div>"
Rajkot-Kutch-Route-1-Bhuj - Bhachau Hwy,Rajkot,Kutch,Bhuj - Bhachau Hwy,"Turn left onto Rajkot - Morbi Hwy<div style=""font-size:0.9em"">Pass by Jay Velnath Group (on the right)</div> → Keep right to stay on Rajkot - Morbi Hwy → Exit the roundabout onto High Ct Rd/<wbr/>Rajkot Hwy<div style=""font-size:0.9em"">Continue to follow Rajkot Hwy</div><div style=""font-size:0.9em"">Pass by લાભ ટ્રાન્સપોર્ટ (on the left in 450m)</div> → At Parewadi Chowk, take the 1st exit onto Juno Morbi Rd<div style=""font-size:0.9em"">Pass by Tajani tools (on the left)</div> → Head south on Dr. BR Ambedkar Chowk toward High Ct Rd/<wbr/>Rajkot Hwy"
Rajkot-Navsari-Route-1-NH 47,Rajkot,Navsari,NH 47,"Exit the roundabout onto High Ct Rd/<wbr/>Rajkot Hwy<div style=""font-size:0.9em"">Continue to follow Rajkot Hwy</div><div style=""font-size:0.9em"">Pass by લાભ ટ્રાન્સપોર્ટ (on the left in 450m)</div> → At Parewadi Chowk, take the 2nd exit onto Rajkot Hwy/<wbr/>Ranchhod Nagar Main Rd<div style=""font-size:0.9em"">Pass by Tajani tools (on the left)</div> → Head south on Dr. BR Ambedkar Chowk toward High Ct Rd/<wbr/>Rajkot Hwy → At Deluxe Cinema Chowk, take the 1st exit onto Kuvadava Rd/<wbr/>Ranchhod Nagar Main Rd<div style=""font-size:0.9em"">Go through 1 roundabout</div><div style=""font-size:0.9em"">Pass by SBI ATM (on the left)</div> → Turn left to stay on Kuvadava Rd<div style=""font-size:0.9em"">Pass by Greenland chokdi Pickup Stand (GSRTC) (on the left)</div>"
Rajkot-Nadiad-Route-1-NH 47,Rajkot,Nadiad,NH 47,"Exit the roundabout onto High Ct Rd/<wbr/>Rajkot Hwy<div style=""font-size:0.9em"">Continue to follow Rajkot Hwy</div><div style=""font-size:0.9em"">Pass by લાભ ટ્રાન્સપોર્ટ (on the left in 450m)</div> → At Parewadi Chowk, take the 2nd exit onto Rajkot Hwy/<wbr/>Ranchhod Nagar Main Rd<div style=""font-size:0.9em"">Pass by Tajani tools (on the left)</div> → Head south on Dr. BR Ambedkar Chowk toward High Ct Rd/<wbr/>Rajkot Hwy → At Deluxe Cinema Chowk, take the 1st exit onto Kuvadava Rd/<wbr/>Ranchhod Nagar Main Rd<div style=""font-size:0.9em"">Go through 1 roundabout</div><div style=""font-size:0.9em"">Pass by SBI ATM (on the left)</div> → Turn left to stay on Kuvadava Rd<div style=""font-size:0.9em"">Pass by Greenland chokdi Pickup Stand (GSRTC) (on the left)</div>"
Rajkot-Patan-Route-1-GJ SH 19,Rajkot,Patan,GJ SH 19,"Exit the roundabout onto High Ct Rd/<wbr/>Rajkot Hwy<div style=""font-size:0.9em"">Continue to follow Rajkot Hwy</div><div style=""font-size:0.9em"">Pass by લાભ ટ્રાન્સપોર્ટ (on the left in 450m)</div> → At Parewadi Chowk, take the 2nd exit onto Rajkot Hwy/<wbr/>Ranchhod Nagar Main Rd<div style=""font-size:0.9em"">Pass by Tajani tools (on the left)</div> → Head south on Dr. BR Ambedkar Chowk toward High Ct Rd/<wbr/>Rajkot Hwy → At Deluxe Cinema Chowk, take the 1st exit onto Kuvadava Rd/<wbr/>Ranchhod Nagar Main Rd<div style=""font-size:0.9em"">Go through 1 roundabout</div><div style=""font-size:0.9em"">Pass by SBI ATM (on the left)</div> → Turn left to stay on Kuvadava Rd<div style=""font-size:0.9em"">Pass by Greenland chokdi Pickup Stand (GSRTC) (on the left)</div>"
Rajkot-Patan-Route-2-GJ SH 7,Rajkot,Patan,GJ SH 7,"Turn left onto Rajkot - Morbi Hwy<div style=""font-size:0.9em"">Pass by Jay Velnath Group (on the right)</div> → Keep right to stay on Rajkot - Morbi Hwy → Exit the roundabout onto High Ct Rd/<wbr/>Rajkot Hwy<div style=""font-size:0.9em"">Continue to follow Rajkot Hwy</div><div style=""font-size:0.9em"">Pass by લાભ ટ્રાન્સપોર્ટ (on the left in 450m)</div> → At Parewadi Chowk, take the 1st exit onto Juno Morbi Rd<div style=""font-size:0.9em"">Pass by Tajani tools (on the left)</div> → Head south on Dr. BR Ambedkar Chowk toward High Ct Rd/<wbr/>Rajkot Hwy"
Rajkot-Patan-Route-3-NH 47,Rajkot,Patan,NH 47,"Exit the roundabout onto High Ct Rd/<wbr/>Rajkot Hwy<div style=""font-size:0.9em"">Continue to follow Rajkot Hwy</div><div style=""font-size:0.9em"">Pass by લાભ ટ્રાન્સપોર્ટ (on the left in 450m)</div> → At Parewadi Chowk, take the 2nd exit onto Rajkot Hwy/<wbr/>Ranchhod Nagar Main Rd<div style=""font-size:0.9em"">Pass by Tajani tools (on the left)</div> → Head south on Dr. BR Ambedkar Chowk toward High Ct Rd/<wbr/>Rajkot Hwy → At Deluxe Cinema Chowk, take the 1st exit onto Kuvadava Rd/<wbr/>Ranchhod Nagar Main Rd<div style=""font-size:0.9em"">Go through 1 roundabout</div><div style=""font-size:0.9em"">Pass by SBI ATM (on the left)</div> → Turn left to stay on Kuvadava Rd<div style=""font-size:0.9em"">Pass by Greenland chokdi Pickup Stand (GSRTC) (on the left)</div>"
Rajkot-Morbi-Route-1-Rajkot - Morbi Hwy,Rajkot,Morbi,Rajkot - Morbi Hwy,"Turn left onto Rajkot - Morbi Hwy<div style=""font-size:0.9em"">Pass by Jay Velnath Group (on the right)</div> → Keep right to stay on Rajkot - Morbi Hwy → Exit the roundabout onto High Ct Rd/<wbr/>Rajkot Hwy<div style=""font-size:0.9em"">Continue to follow Rajkot Hwy</div><div style=""font-size:0.9em"">Pass by લાભ ટ્રાન્સપોર્ટ (on the left in 450m)</div> → At Parewadi Chowk, take the 1st exit onto Juno Morbi Rd<div style=""font-size:0.9em"">Pass by Tajani tools (on the left)</div> → Head south on Dr. BR Ambedkar Chowk toward High Ct Rd/<wbr/>Rajkot Hwy"
Rajkot-Bharuch-Route-1-NH 47,Rajkot,Bharuch,NH 47,"Exit the roundabout onto High Ct Rd/<wbr/>Rajkot Hwy<div style=""font-size:0.9em"">Continue to follow Rajkot Hwy</div><div style=""font-size:0.9em"">Pass by લાભ ટ્રાન્સપોર્ટ (on the left in 450m)</div> → At Parewadi Chowk, take the 2nd exit onto Rajkot Hwy/<wbr/>Ranchhod Nagar Main Rd<div style=""font-size:0.9em"">Pass by Tajani tools (on the left)</div> → Head south on Dr. BR Ambedkar Chowk toward High Ct Rd/<wbr/>Rajkot Hwy → At Deluxe Cinema Chowk, take the 1st exit onto Kuvadava Rd/<wbr/>Ranchhod Nagar Main Rd<div style=""font-size:0.9em"">Go through 1 roundabout</div><div style=""font-size:0.9em"">Pass by SBI ATM (on the left)</div> → Turn left to stay on Kuvadava Rd<div style=""font-size:0.9em"">Pass by Greenland chokdi Pickup Stand (GSRTC) (on the left)</div>"
Rajkot-Bharuch-Route-2-NH 47 and NH 751D,Rajkot,Bharuch,NH 47 and NH 751D,"Exit the roundabout onto High Ct Rd/<wbr/>Rajkot Hwy<div style=""font-size:0.9em"">Continue to follow Rajkot Hwy</div><div style=""font-size:0.9em"">Pass by લાભ ટ્રાન્સપોર્ટ (on the left in 450m)</div> → At Parewadi Chowk, take the 2nd exit onto Rajkot Hwy/<wbr/>Ranchhod Nagar Main Rd<div style=""font-size:0.9em"">Pass by Tajani tools (on the left)</div> → Head south on Dr. BR Ambedkar Chowk toward High Ct Rd/<wbr/>Rajkot Hwy → At Deluxe Cinema Chowk, take the 1st exit onto Kuvadava Rd/<wbr/>Ranchhod Nagar Main Rd<div style=""font-size:0.9em"">Go through 1 roundabout</div><div style=""font-size:0.9em"">Pass by SBI ATM (on the left)</div> → Turn left to stay on Kuvadava Rd<div style=""font-size:0.9em"">Pass by Greenland chokdi Pickup Stand (GSRTC) (on the left)</div>"
Rajkot-Bharuch-Route-3-NH 47 and NE 4,Rajkot,Bharuch,NH 47 and NE 4,"Exit the roundabout onto High Ct Rd/<wbr/>Rajkot Hwy<div style=""font-size:0.9em"">Continue to follow Rajkot Hwy</div><div style=""font-size:0.9em"">Pass by લાભ ટ્રાન્સપોર્ટ (on the left in 450m)</div> → At Parewadi Chowk, take the 2nd exit onto Rajkot Hwy/<wbr/>Ranchhod Nagar Main Rd<div style=""font-size:0.9em"">Pass by Tajani tools (on the left)</div> → Head south on Dr. BR Ambedkar Chowk toward High Ct Rd/<wbr/>Rajkot Hwy → At Deluxe Cinema Chowk, take the 1st exit onto Kuvadava Rd/<wbr/>Ranchhod Nagar Main Rd<div style=""font-size:0.9em"">Go through 1 roundabout</div><div style=""font-size:0.9em"">Pass by SBI ATM (on the left)</div> → Turn left to stay on Kuvadava Rd<div style=""font-size:0.9em"">Pass by Greenland chokdi Pickup Stand (GSRTC) (on the left)</div>"
Bhavnagar-Ahmedabad-Route-1-NH 47,Bhavnagar,Ahmedabad,NH 47,"Turn right at Jai Jhulelal Chowk onto Waghawadi Rd.<div style=""font-size:0.9em"">Pass by Tng The New Generation (on the left)</div> → Head east on Kabristan Masjid Rd → Turn left at Sun Photovoltaic Solar → At Rubber Factory Cir, take the 1st exit<div style=""font-size:0.9em"">Drive along Naanu Jawahar Medan (on the right for 170m)</div> → Turn left at Al Khalid Tours<div style=""font-size:0.9em"">Pass by Inarco (on the right)</div>"
Bhavnagar-Ahmedabad-Route-2-NH 751,Bhavnagar,Ahmedabad,NH 751,"Turn right at Jai Jhulelal Chowk onto Waghawadi Rd.<div style=""font-size:0.9em"">Pass by Tng The New Generation (on the left)</div> → Head east on Kabristan Masjid Rd → Turn left at Sun Photovoltaic Solar → At Rubber Factory Cir, take the 1st exit<div style=""font-size:0.9em"">Drive along Naanu Jawahar Medan (on the right for 170m)</div> → Turn left at Al Khalid Tours<div style=""font-size:0.9em"">Pass by Inarco (on the right)</div>"
Bhavnagar-Surat-Route-1-NH53,Bhavnagar,Surat,NH53,"At Ghogha Cir, take the 4th exit onto Ghogha Rd<div style=""font-size:0.9em"">Pass by Monjela fast food (on the left)</div> → Head east on Kabristan Masjid Rd → Turn right at Asifbhai<div style=""font-size:0.9em"">Pass by Bharat Marine (on the right)</div> → At Mokdhaji Cir, take the 3rd exit and stay on Ghogha Rd<div style=""font-size:0.9em"">Pass by Young India Sports Bhavnagar (on the left)</div> → Turn right at Sun Photovoltaic Solar<div style=""font-size:0.9em"">Pass by Maitri enterprises (on the right)</div>"
Bhavnagar-Surat-Route-2-NE 4,Bhavnagar,Surat,NE 4,"Turn right at Jai Jhulelal Chowk onto Waghawadi Rd.<div style=""font-size:0.9em"">Pass by Tng The New Generation (on the left)</div> → Head east on Kabristan Masjid Rd → Turn left at Sun Photovoltaic Solar → At Rubber Factory Cir, take the 1st exit<div style=""font-size:0.9em"">Drive along Naanu Jawahar Medan (on the right for 170m)</div> → Turn left at Al Khalid Tours<div style=""font-size:0.9em"">Pass by Inarco (on the right)</div>"
Bhavnagar-Vadodara-Route-1-NH 751 and NH 751D,Bhavnagar,Vadodara,NH 751 and NH 751D,"Turn right at Jai Jhulelal Chowk onto Waghawadi Rd.<div style=""font-size:0.9em"">Pass by Tng The New Generation (on the left)</div> → Head east on Kabristan Masjid Rd → Turn left at Sun Photovoltaic Solar → At Rubber Factory Cir, take the 1st exit<div style=""font-size:0.9em"">Drive along Naanu Jawahar Medan (on the right for 170m)</div> → Turn left at Al Khalid Tours<div style=""font-size:0.9em"">Pass by Inarco (on the right)</div>"
Bhavnagar-Vadodara-Route-2-NH 751 and NH64,Bhavnagar,Vadodara,NH 751 and NH64,"Turn right at Jai Jhulelal Chowk onto Waghawadi Rd.<div style=""font-size:0.9em"">Pass by Tng The New Generation (on the left)</div> → Head east on Kabristan Masjid Rd → Turn left at Sun Photovoltaic Solar → At Rubber Factory Cir, take the 1st exit<div style=""font-size:0.9em"">Drive along Naanu Jawahar Medan (on the right for 170m)</div> → Turn left at Al Khalid Tours<div style=""font-size:0.9em"">Pass by Inarco (on the right)</div>"
Bhavnagar-Vadodara-Route-3-NE 1,Bhavnagar,Vadodara,NE 1,"Turn right at Jai Jhulelal Chowk onto Waghawadi Rd.<div style=""font-size:0.9em"">Pass by Tng The New Generation (on the left)</div> → Head east on Kabristan Masjid Rd → Turn left at Sun Photovoltaic Solar → At Rubber Factory Cir, take the 1st exit<div style=""font-size:0.9em"">Drive along Naanu Jawahar Medan (on the right for 170m)</div> → Turn left at Al Khalid Tours<div style=""font-size:0.9em"">Pass by Inarco (on the right)</div>"
Bhavnagar-Vapi-Route-1-NH 48,Bhavnagar,Vapi,NH 48,"Turn right at Jai Jhulelal Chowk onto Waghawadi Rd.<div style=""font-size:0.9em"">Pass by Tng The New Generation (on the left)</div> → Head east on Kabristan Masjid Rd → Turn left at Sun Photovoltaic Solar → At Rubber Factory Cir, take the 1st exit<div style=""font-size:0.9em"">Drive along Naanu Jawahar Medan (on the right for 170m)</div> → Turn left at Al Khalid Tours<div style=""font-size:0.9em"">Pass by Inarco (on the right)</div>"
Bhavnagar-Vapi-Route-2-NH53 and NH 48,Bhavnagar,Vapi,NH53 and NH 48,"At Ghogha Cir, take the 4th exit onto Ghogha Rd<div style=""font-size:0.9em"">Pass by Monjela fast food (on the left)</div> → Head east on Kabristan Masjid Rd → Turn right at Asifbhai<div style=""font-size:0.9em"">Pass by Bharat Marine (on the right)</div> → At Mokdhaji Cir, take the 3rd exit and stay on Ghogha Rd<div style=""font-size:0.9em"">Pass by Young India Sports Bhavnagar (on the left)</div> → Turn right at Sun Photovoltaic Solar<div style=""font-size:0.9em"">Pass by Maitri enterprises (on the right)</div>"
Bhavnagar-Rajkot-Route-1-NH51 and Bhavnagar -,Bhavnagar,Rajkot,NH51 and Bhavnagar - Rajkot Rd,"Turn right at Jai Jhulelal Chowk onto Waghawadi Rd.<div style=""font-size:0.9em"">Pass by Tng The New Generation (on the left)</div> → Head east on Kabristan Masjid Rd → Turn left at Sun Photovoltaic Solar → At Rubber Factory Cir, take the 1st exit<div style=""font-size:0.9em"">Drive along Naanu Jawahar Medan (on the right for 170m)</div> → Turn left at Al Khalid Tours<div style=""font-size:0.9em"">Pass by Inarco (on the right)</div>"
Bhavnagar-Rajkot-Route-2-NH 47,Bhavnagar,Rajkot,NH 47,"Turn right at Jai Jhulelal Chowk onto Waghawadi Rd.<div style=""font-size:0.9em"">Pass by Tng The New Generation (on the left)</div> → Head east on Kabristan Masjid Rd → Turn left at Sun Photovoltaic Solar → At Rubber Factory Cir, take the 1st exit<div style=""font-size:0.9em"">Drive along Naanu Jawahar Medan (on the right for 170m)</div> → Turn left at Al Khalid Tours<div style=""font-size:0.9em"">Pass by Inarco (on the right)</div>"
Bhavnagar-Gandhinagar-Route-1-NH 47,Bhavnagar,Gandhinagar,NH 47,"Turn right at Jai Jhulelal Chowk onto Waghawadi Rd.<div style=""font-size:0.9em"">Pass by Tng The New Generation (on the left)</div> → Head east on Kabristan Masjid Rd → Turn left at Sun Photovoltaic Solar → At Rubber Factory Cir, take the 1st exit<div style=""font-size:0.9em"">Drive along Naanu Jawahar Medan (on the right for 170m)</div> → Turn left at Al Khalid Tours<div style=""font-size:0.9em"">Pass by Inarco (on the right)</div>"
Bhavnagar-Junagadh-Route-1-NH51,Bhavnagar,Junagadh,NH51,"Turn right at Jai Jhulelal Chowk onto Waghawadi Rd.<div style=""font-size:0.9em"">Pass by Tng The New Generation (on the left)</div> → Head east on Kabristan Masjid Rd → Turn left at Sun Photovoltaic Solar → At Rubber Factory Cir, take the 1st exit<div style=""font-size:0.9em"">Drive along Naanu Jawahar Medan (on the right for 170m)</div> → Turn left at Al Khalid Tours<div style=""font-size:0.9em"">Pass by Inarco (on the right)</div>"
Bhavnagar-Junagadh-Route-2-NH51 and GJ SH 31,Bhavnagar,Junagadh,NH51 and GJ SH 31,"Turn right at Jai Jhulelal Chowk onto Waghawadi Rd.<div style=""font-size:0.9em"">Pass by Tng The New Generation (on the left)</div> → Head east on Kabristan Masjid Rd → Turn left at Sun Photovoltaic Solar → At Rubber Factory Cir, take the 1st exit<div style=""font-size:0.9em"">Drive along Naanu Jawahar Medan (on the right for 170m)</div> → Turn left at Al Khalid Tours<div style=""font-size:0.9em"">Pass by Inarco (on the right)</div>"
Bhavnagar-Junagadh-Route-3-NH51 and Bhavnagar -,Bhavnagar,Junagadh,NH51 and Bhavnagar - Rajkot Rd,"Turn right at Jai Jhulelal Chowk onto Waghawadi Rd.<div style=""font-size:0.9em"">Pass by Tng The New Generation (on the left)</div> → Head east on Kabristan Masjid Rd → Turn left at Sun Photovoltaic Solar → At Rubber Factory Cir, take the 1st exit<div style=""font-size:0.9em"">Drive along Naanu Jawahar Medan (on the right for 170m)</div> → Turn left at Al Khalid Tours<div style=""font-size:0.9em"">Pass by Inarco (on the right)</div>"
Bhavnagar-Kutch-Route-1-GJ SH 7,Bhavnagar,Kutch,GJ SH 7,"Turn right at Jai Jhulelal Chowk onto Waghawadi Rd.<div style=""font-size:0.9em"">Pass by Tng The New Generation (on the left)</div> → Head east on Kabristan Masjid Rd → Turn left at Sun Photovoltaic Solar → At Rubber Factory Cir, take the 1st exit<div style=""font-size:0.9em"">Drive along Naanu Jawahar Medan (on the right for 170m)</div> → Turn left at Al Khalid Tours<div style=""font-size:0.9em"">Pass by Inarco (on the right)</div>"
Bhavnagar-Kutch-Route-2-NH 27,Bhavnagar,Kutch,NH 27,"Turn right at Jai Jhulelal Chowk onto Waghawadi Rd.<div style=""font-size:0.9em"">Pass by Tng The New Generation (on the left)</div> → Head east on Kabristan Masjid Rd → Turn left at Sun Photovoltaic Solar → At Rubber Factory Cir, take the 1st exit<div style=""font-size:0.9em"">Drive along Naanu Jawahar Medan (on the right for 170m)</div> → Turn left at Al Khalid Tours<div style=""font-size:0.9em"">Pass by Inarco (on the right)</div>"
Bhavnagar-Kutch-Route-3-NH 754K,Bhavnagar,Kutch,NH 754K,"Turn right at Jai Jhulelal Chowk onto Waghawadi Rd.<div style=""font-size:0.9em"">Pass by Tng The New Generation (on the left)</div> → Head east on Kabristan Masjid Rd → Turn left at Sun Photovoltaic Solar → At Rubber Factory Cir, take the 1st exit<div style=""font-size:0.9em"">Drive along Naanu Jawahar Medan (on the right for 170m)</div> → Turn left at Al Khalid Tours<div style=""font-size:0.9em"">Pass by Inarco (on the right)</div>"
Bhavnagar-Navsari-Route-1-NE 4,Bhavnagar,Navsari,NE 4,"Turn right at Jai Jhulelal Chowk onto Waghawadi Rd.<div style=""font-size:0.9em"">Pass by Tng The New Generation (on the left)</div> → Head east on Kabristan Masjid Rd → Turn left at Sun Photovoltaic Solar → At Rubber Factory Cir, take the 1st exit<div style=""font-size:0.9em"">Drive along Naanu Jawahar Medan (on the right for 170m)</div> → Turn left at Al Khalid Tours<div style=""font-size:0.9em"">Pass by Inarco (on the right)</div>"
Bhavnagar-Navsari-Route-2-NH53,Bhavnagar,Navsari,NH53,"At Ghogha Cir, take the 4th exit onto Ghogha Rd<div style=""font-size:0.9em"">Pass by Monjela fast food (on the left)</div> → Head east on Kabristan Masjid Rd → Turn right at Asifbhai<div style=""font-size:0.9em"">Pass by Bharat Marine (on the right)</div> → At Mokdhaji Cir, take the 3rd exit and stay on Ghogha Rd<div style=""font-size:0.9em"">Pass by Young India Sports Bhavnagar (on the left)</div> → Turn right at Sun Photovoltaic Solar<div style=""font-size:0.9em"">Pass by Maitri enterprises (on the right)</div>"
Bhavnagar-Nadiad-Route-1-NH 751,Bhavnagar,Nadiad,NH 751,"Turn right at Jai Jhulelal Chowk onto Waghawadi Rd.<div style=""font-size:0.9em"">Pass by Tng The New Generation (on the left)</div> → Head east on Kabristan Masjid Rd → Turn left at Sun Photovoltaic Solar → At Rubber Factory Cir, take the 1st exit<div style=""font-size:0.9em"">Drive along Naanu Jawahar Medan (on the right for 170m)</div> → Turn left at Al Khalid Tours<div style=""font-size:0.9em"">Pass by Inarco (on the right)</div>"
